NO_OF_FRAMES	438
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:08:24.823	197801.91540150
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
81	0.80000	1414.546	-490.035	1369.114	1486.097	-517.577	1077.833	1651.345	-370.201	941.913	1771.227	-285.135	879.044	1701.953	-275.985	879.424
82	0.81000	1414.776	-490.073	1369.037	1486.025	-517.694	1077.738	1651.360	-370.239	941.911	1770.902	-284.985	878.786	1701.907	-276.008	879.476
83	0.82000	1414.981	-490.132	1368.995	1485.990	-517.844	1077.573	1651.336	-370.280	941.906	1770.735	-285.024	878.683	1701.908	-276.006	879.476
84	0.83000	1415.136	-490.191	1368.929	1485.919	-517.956	1077.452	1651.275	-370.343	941.847	1770.591	-285.001	878.590	1701.934	-276.059	879.440
85	0.84000	1415.323	-490.302	1368.865	1485.927	-517.994	1077.391	1651.237	-370.397	941.829	1770.404	-284.926	878.579	1701.909	-276.122	879.443
86	0.85000	1415.458	-490.365	1368.822	1485.845	-518.248	1077.147	1651.222	-370.478	941.846	1770.210	-284.843	878.589	1701.873	-276.351	879.422
87	0.86000	1415.641	-490.349	1368.753	1485.685	-518.504	1077.123	1651.228	-370.614	941.826	1770.029	-284.749	878.548	1701.693	-276.370	879.496
88	0.87000	1415.679	-490.467	1368.736	1485.590	-518.636	1077.034	1651.265	-370.683	941.888	1769.950	-284.596	878.547	1701.642	-276.497	879.473
89	0.88000	1415.749	-490.506	1368.693	1485.531	-518.721	1076.899	1651.325	-370.732	941.982	1769.776	-284.521	878.490	1701.562	-276.556	879.475
90	0.89000	1415.869	-490.539	1368.694	1485.480	-518.813	1076.840	1651.375	-370.832	942.048	1769.554	-284.503	878.324	1701.534	-276.699	879.468
91	0.90000	1415.872	-490.572	1368.674	1485.467	-518.837	1076.735	1651.503	-370.919	942.194	1769.507	-284.406	878.272	1701.499	-276.695	879.481
92	0.91000	1415.860	-490.736	1368.774	1485.450	-518.920	1076.723	1651.614	-371.027	942.272	1769.369	-284.512	878.229	1701.501	-276.772	879.438
93	0.92000	1415.853	-490.855	1368.771	1485.486	-518.986	1076.751	1651.746	-371.066	942.359	1769.308	-284.453	878.199	1701.444	-276.826	879.456
94	0.93000	1415.848	-490.854	1368.796	1485.476	-518.986	1076.790	1651.850	-371.152	942.424	1769.308	-284.346	878.171	1701.464	-276.946	879.334
95	0.94000	1415.826	-490.911	1368.774	1485.489	-519.044	1076.805	1651.901	-371.154	942.478	1769.154	-284.387	878.053	1701.522	-277.043	879.366
96	0.95000	1415.796	-490.903	1368.769	1485.567	-519.055	1076.781	1651.944	-371.192	942.483	1769.028	-284.397	877.924	1701.501	-277.082	879.361
97	0.96000	1415.778	-490.980	1368.838	1485.540	-519.194	1076.950	1652.072	-371.205	942.598	1768.910	-284.358	877.848	1701.353	-276.977	879.341
98	0.97000	1415.779	-490.951	1368.889	1485.562	-519.181	1077.010	1652.042	-371.220	942.643	1768.804	-284.382	877.724	1701.339	-277.008	879.379
99	0.98000	1415.750	-490.898	1368.929	1485.518	-519.205	1077.001	1652.170	-371.286	942.729	1768.721	-284.388	877.754	1701.330	-277.095	879.365
100	0.99000	1415.719	-490.879	1368.927	1485.485	-519.257	1077.041	1652.278	-371.454	942.882	1768.607	-284.334	877.721	1701.230	-277.117	879.343
101	1.00000	1415.716	-490.911	1368.987	1485.434	-519.294	1077.040	1652.390	-371.545	943.035	1768.498	-284.318	877.692	1701.143	-277.165	879.302
102	1.01000	1415.642	-490.828	1368.976	1485.366	-519.328	1077.081	1652.489	-371.750	943.188	1768.356	-284.280	877.643	1701.025	-277.162	879.370
103	1.02000	1415.607	-490.735	1368.982	1485.274	-519.314	1077.141	1652.457	-372.011	943.246	1768.190	-284.280	877.588	1700.894	-277.235	879.309
104	1.03000	1415.519	-490.658	1369.007	1485.292	-519.343	1077.258	1652.481	-372.138	943.264	1768.078	-284.314	877.551	1700.816	-277.292	879.312
