NO_OF_FRAMES	1727
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:13:29.900	198107.01191620
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
123	1.22000	1218.518	-457.028	1406.050	1167.648	-550.654	1116.210	1323.341	-460.261	939.294	1454.040	-435.809	879.124	1418.978	-415.041	880.269
124	1.23000	1217.833	-457.201	1405.857	1164.941	-550.233	1115.943	1321.111	-460.260	939.465	1450.546	-435.577	879.012	1416.230	-414.705	880.093
125	1.24000	1217.028	-457.326	1405.346	1162.501	-549.860	1115.590	1318.755	-459.763	938.970	1447.554	-435.361	878.849	1413.941	-414.493	879.896
126	1.25000	1216.304	-457.655	1404.943	1160.199	-549.072	1115.166	1316.730	-459.547	938.656	1444.590	-435.434	878.176	1411.889	-414.425	879.426
127	1.26000	1215.626	-457.909	1404.649	1158.180	-548.311	1114.652	1315.043	-459.161	938.226	1442.120	-435.477	877.528	1410.288	-414.448	878.821
128	1.27000	1214.915	-458.072	1404.301	1156.499	-547.346	1114.155	1313.203	-458.376	937.455	1440.036	-435.641	877.096	1408.999	-414.601	878.432
129	1.28000	1214.292	-458.154	1404.049	1154.922	-546.155	1113.407	1311.752	-457.743	936.646	1438.276	-435.932	876.604	1408.495	-415.042	878.551
130	1.29000	1213.851	-458.252	1403.728	1153.542	-545.043	1112.773	1310.828	-457.158	936.352	1437.203	-436.031	876.605	1408.328	-415.467	878.590
131	1.30000	1213.391	-458.378	1403.234	1152.271	-543.940	1112.086	1310.013	-456.483	935.998	1436.001	-436.574	876.282	1408.313	-416.031	878.593
132	1.31000	1212.996	-458.472	1402.583	1151.019	-542.854	1111.540	1309.382	-455.758	935.607	1435.361	-437.130	876.471	1408.719	-416.910	878.675
133	1.32000	1212.613	-458.668	1402.032	1149.853	-541.514	1110.701	1309.166	-455.376	935.417	1435.010	-437.994	876.929	1409.764	-418.463	879.246
134	1.33000	1212.292	-458.843	1401.689	1148.889	-540.446	1109.954	1309.040	-454.784	935.103	1435.090	-438.893	877.699	1411.056	-419.800	880.105
135	1.34000	1212.022	-458.966	1401.449	1148.049	-539.340	1109.229	1309.170	-454.441	935.010	1435.513	-440.038	878.691	1412.292	-421.798	880.735
136	1.35000	1211.711	-459.143	1401.244	1147.378	-538.396	1108.621	1309.447	-454.215	934.967	1436.080	-441.617	879.473	1413.578	-423.180	881.410
137	1.36000	1211.366	-459.349	1401.039	1146.897	-537.551	1108.017	1309.782	-454.105	934.868	1436.864	-443.279	880.211	1414.839	-424.760	882.297
138	1.37000	1211.005	-459.532	1400.713	1146.503	-536.755	1107.598	1310.107	-454.092	934.751	1437.243	-444.920	880.374	1415.595	-425.746	882.495
139	1.38000	1210.657	-459.857	1400.450	1146.167	-535.775	1107.108	1310.361	-454.086	934.583	1437.962	-446.112	881.097	1416.613	-427.030	882.944
140	1.39000	1210.424	-459.957	1400.193	1145.895	-535.298	1106.557	1310.766	-454.198	934.375	1438.562	-446.963	881.496	1417.417	-427.754	883.138
141	1.40000	1210.228	-460.144	1399.979	1145.773	-534.921	1106.165	1311.205	-454.314	934.275	1439.015	-447.680	881.686	1418.000	-428.324	883.121
142	1.41000	1210.061	-460.124	1399.743	1145.688	-534.520	1105.862	1311.575	-454.408	934.120	1439.523	-448.885	881.740	1418.454	-428.779	882.897
143	1.42000	1209.959	-460.221	1399.642	1145.619	-534.154	1105.533	1311.866	-454.721	933.924	1440.003	-450.304	881.849	1418.749	-429.309	882.579
144	1.43000	1209.843	-460.350	1399.531	1145.465	-533.838	1105.411	1311.984	-455.027	933.654	1440.572	-451.275	881.942	1419.256	-430.691	882.332
145	1.44000	1209.647	-460.513	1399.314	1145.252	-533.749	1105.023	1311.975	-455.405	933.275	1441.289	-453.198	882.352	1420.115	-432.091	882.547
146	1.45000	1209.508	-460.742	1399.081	1145.057	-533.571	1104.741	1312.055	-455.989	932.947	1441.543	-454.758	882.157	1420.435	-433.594	882.223
147	1.46000	1209.352	-460.842	1398.865	1144.761	-533.395	1104.458	1312.238	-456.545	932.642	1442.076	-456.834	882.326	1421.182	-435.522	882.539
148	1.47000	1209.142	-461.072	1398.702	1144.513	-533.248	1104.175	1312.460	-457.158	932.437	1442.188	-458.667	882.053	1421.207	-437.165	881.797
149	1.48000	1208.973	-461.203	1398.512	1144.230	-533.164	1103.947	1312.443	-458.079	932.054	1441.699	-460.756	881.154	1421.599	-438.668	881.452
150	1.49000	1208.811	-461.371	1398.350	1143.912	-533.062	1103.470	1312.346	-458.911	931.628	1441.350	-461.878	880.869	1421.336	-440.095	880.419
151	1.50000	1208.622	-461.573	1398.192	1143.574	-532.983	1103.277	1312.147	-459.436	931.387	1440.246	-463.343	879.852	1421.671	-441.640	880.163
152	1.51000	1208.476	-461.779	1398.086	1143.264	-532.932	1103.125	1311.999	-459.982	931.143	1439.532	-464.261	879.093	1421.588	-443.266	879.357
153	1.52000	1208.318	-461.932	1397.954	1142.988	-532.964	1102.967	1311.413	-460.961	930.352	1438.757	-465.224	878.148	1421.332	-443.980	878.780
154	1.53000	1208.251	-462.155	1397.895	1142.741	-532.991	1102.830	1311.311	-461.357	930.084	1438.295	-465.811	877.707	1420.626	-444.710	877.647
155	1.54000	1208.178	-462.341	1397.715	1142.605	-533.056	1102.776	1311.317	-461.814	930.166	1437.549	-466.194	876.913	1420.316	-444.924	877.447
156	1.55000	1208.216	-462.431	1397.670	1142.486	-533.193	1102.765	1311.146	-462.015	929.937	1436.947	-466.228	876.354	1419.992	-444.817	877.273
157	1.56000	1208.301	-462.647	1397.625	1142.393	-533.240	1102.774	1310.940	-462.225	929.751	1436.681	-466.318	876.062	1419.616	-444.707	877.030
158	1.57000	1208.375	-462.808	1397.668	1142.414	-533.271	1102.730	1310.824	-462.779	929.365	1436.403	-466.457	875.766	1419.517	-444.715	877.037
159	1.58000	1208.550	-462.952	1397.680	1142.425	-533.324	1102.755	1310.885	-462.880	929.278	1436.243	-466.561	875.441	1419.522	-444.719	877.050
160	1.59000	1208.694	-463.226	1397.843	1142.487	-533.264	1102.686	1311.059	-463.101	929.348	1435.967	-466.760	875.146	1419.525	-444.741	876.968
