NO_OF_FRAMES	2000
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:12:23.192	198040.29905730
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Measured	Measured
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
94	0.93000	1238.588	-459.233	1398.631	1187.170	-541.046	1103.625	1386.684	-450.602	987.991	1524.672	-442.707	951.085	1501.974	-418.614	954.660
95	0.94000	1239.383	-458.846	1398.386	1194.351	-540.077	1102.429	1394.929	-446.154	991.731	1535.422	-436.251	957.509	1510.284	-411.566	960.136
96	0.95000	1240.264	-458.316	1398.191	1201.872	-539.107	1101.337	1403.258	-441.707	995.179	1546.007	-429.500	963.263	1518.308	-403.893	965.117
97	0.96000	1241.239	-457.927	1397.929	1209.882	-538.078	1100.349	1411.758	-436.911	998.932	1556.563	-422.406	968.578	1526.186	-395.893	969.574
98	0.97000	1242.384	-457.383	1397.513	1218.159	-536.954	1099.440	1420.166	-431.870	1001.931	1567.368	-414.740	973.955	1533.758	-387.362	973.386
99	0.98000	1243.655	-456.870	1397.168	1226.649	-535.440	1098.600	1428.528	-426.502	1005.231	1577.529	-406.603	978.532	1541.048	-378.615	976.736
100	0.99000	1245.029	-456.363	1396.718	1235.309	-534.033	1097.887	1436.721	-421.299	1008.002	1587.235	-398.437	982.561	1548.099	-369.785	979.638
101	1.00000	1246.669	-455.672	1396.286	1244.123	-532.262	1097.415	1444.744	-415.687	1010.669	1596.278	-389.673	985.574	1554.916	-361.328	981.977
102	1.01000	1248.321	-455.043	1395.818	1252.858	-530.677	1096.977	1452.553	-409.975	1013.002	1605.384	-381.510	988.605	1561.477	-352.872	983.993
103	1.02000	1250.221	-454.442	1395.508	1261.616	-528.793	1096.835	1460.054	-404.399	1014.969	1613.100	-372.902	990.369	1567.701	-344.816	985.615
104	1.03000	1252.253	-453.904	1395.272	1270.211	-526.810	1096.822	1467.257	-398.870	1016.785	1620.138	-364.581	991.688	1573.736	-337.092	986.820
105	1.04000	1254.471	-453.218	1395.187	1278.559	-524.645	1096.874	1474.126	-393.475	1018.334	1625.886	-356.280	991.627	1579.656	-329.462	987.517
