NO_OF_FRAMES	963
NO_OF_CAMERAS	10
NO_OF_MARKERS	5
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:07:27.539	197744.62702840
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	
87	0.86000	1182.861	-525.794	1404.599	1153.695	-593.910	1096.898	1325.583	-502.546	932.237	1444.622	-480.933	873.658	1426.439	-463.456	876.952
88	0.87000	1182.883	-525.808	1404.618	1153.805	-593.950	1096.914	1325.580	-502.490	932.240	1444.618	-480.924	873.634	1426.456	-463.447	876.964
89	0.88000	1182.904	-525.822	1404.636	1153.828	-593.928	1096.967	1325.627	-502.448	932.303	1444.587	-480.885	873.635	1426.420	-463.454	876.894
90	0.89000	1182.972	-525.863	1404.735	1153.824	-593.953	1097.003	1325.570	-502.528	932.238	1444.604	-480.884	873.660	1426.425	-463.445	876.933
91	0.90000	1182.965	-525.877	1404.749	1153.847	-593.980	1097.024	1325.642	-502.482	932.315	1444.648	-480.915	873.658	1426.414	-463.463	876.950
92	0.91000	1183.016	-525.892	1404.778	1153.908	-593.990	1097.039	1325.580	-502.547	932.229	1444.642	-480.942	873.676	1426.450	-463.477	876.941
93	0.92000	1183.040	-525.856	1404.773	1153.951	-594.029	1097.071	1325.592	-502.566	932.261	1444.613	-480.926	873.666	1426.475	-463.476	876.971
94	0.93000	1183.069	-525.877	1404.837	1153.972	-594.020	1097.081	1325.571	-502.572	932.266	1444.658	-480.938	873.677	1426.414	-463.472	876.968
95	0.94000	1183.089	-525.874	1404.838	1153.983	-594.052	1097.134	1325.574	-502.597	932.237	1444.602	-480.930	873.639	1426.427	-463.446	876.923
96	0.95000	1183.122	-525.890	1404.875	1154.014	-594.056	1097.134	1325.562	-502.550	932.246	1444.582	-480.906	873.663	1426.437	-463.454	876.953
97	0.96000	1183.167	-525.865	1404.871	1154.036	-594.082	1097.137	1325.549	-502.563	932.215	1444.613	-480.895	873.643	1426.416	-463.447	876.931
98	0.97000	1183.193	-525.870	1404.872	1154.039	-594.067	1097.177	1325.596	-502.548	932.258	1444.601	-480.932	873.636	1426.445	-463.460	876.944
99	0.98000	1183.234	-525.871	1404.894	1154.075	-594.045	1097.160	1325.584	-502.582	932.254	1444.639	-480.950	873.662	1426.434	-463.488	876.961
100	0.99000	1183.259	-525.881	1404.924	1154.089	-594.084	1097.199	1325.644	-502.568	932.337	1444.594	-480.948	873.688	1426.442	-463.492	876.967
101	1.00000	1183.277	-525.905	1404.932	1154.095	-594.089	1097.204	1325.615	-502.566	932.306	1444.647	-480.927	873.646	1426.443	-463.466	876.954
102	1.01000	1183.328	-525.875	1404.929	1154.101	-594.095	1097.196	1325.648	-502.539	932.285	1444.623	-480.924	873.629	1426.406	-463.452	876.924
103	1.02000	1183.356	-525.879	1404.929	1154.133	-594.070	1097.196	1325.612	-502.551	932.254	1444.624	-480.920	873.651	1426.415	-463.453	876.901
104	1.03000	1183.403	-525.866	1404.971	1154.136	-594.090	1097.241	1325.612	-502.584	932.237	1444.652	-480.902	873.651	1426.425	-463.491	876.897
105	1.04000	1183.397	-525.877	1404.994	1154.166	-594.102	1097.235	1325.698	-502.530	932.350	1444.645	-480.928	873.648	1426.421	-463.458	876.956
106	1.05000	1183.432	-525.879	1405.001	1154.144	-594.105	1097.240	1325.619	-502.588	932.264	1444.634	-480.932	873.668	1426.463	-463.465	876.964
107	1.06000	1183.456	-525.907	1405.029	1154.227	-594.077	1097.255	1325.637	-502.555	932.318	1444.671	-480.949	873.676	1426.450	-463.473	876.944
108	1.07000	1183.489	-525.883	1405.041	1154.199	-594.146	1097.278	1325.659	-502.594	932.296	1444.618	-480.943	873.659	1426.520	-463.471	876.980
109	1.08000	1183.515	-525.897	1405.037	1154.208	-594.110	1097.288	1325.614	-502.571	932.274	1444.667	-480.919	873.664	1426.433	-463.495	876.908
110	1.09000	1183.548	-525.899	1405.043	1154.211	-594.144	1097.276	1325.593	-502.592	932.260	1444.628	-480.921	873.630	1426.407	-463.449	876.934
111	1.10000	1183.573	-525.948	1405.026	1154.233	-594.161	1097.304	1325.632	-502.566	932.234	1444.609	-480.906	873.632	1426.383	-463.464	876.896
112	1.11000	1183.612	-525.925	1405.062	1154.223	-594.180	1097.320	1325.633	-502.587	932.246	1444.642	-480.889	873.654	1426.428	-463.458	876.931
113	1.12000	1183.666	-525.938	1405.082	1154.261	-594.181	1097.311	1325.658	-502.594	932.292	1444.643	-480.935	873.657	1426.442	-463.490	876.932
114	1.13000	1183.645	-526.006	1405.054	1154.304	-594.186	1097.316	1325.628	-502.611	932.273	1444.631	-480.960	873.652	1426.458	-463.494	876.966
