NO_OF_FRAMES	719
NO_OF_CAMERAS	10
NO_OF_MARKERS	8
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-01-28, 16:29:07.453	199044.62658890
DATA_INCLUDED	3D
MARKER_NAMES	Shoulder	Elbow	Wrist	Pointer	Thumb	Middle	Ring	Pinky
TRAJECTORY_TYPES	Measured	Measured	Measured	Mixed	Measured	Measured	Mixed	Mixed
Frame	Time	Shoulder X	Shoulder Y	Shoulder Z	Elbow X	Elbow Y	Elbow Z	Wrist X	Wrist Y	Wrist Z	Pointer X	Pointer Y	Pointer Z	Thumb X	Thumb Y	Thumb Z	Middle X	Middle Y	Middle Z	Ring X	Ring Y	Ring Z	Pinky X	Pinky Y	Pinky Z	
83	0.82000	1561.972	89.965	1333.549	1549.436	91.842	1028.788	1798.610	98.781	1028.138	1977.624	95.136	1008.768	1902.450	46.297	1051.472	1988.799	122.005	1010.297	1972.990	152.420	1014.244	1950.901	167.697	1014.431
84	0.83000	1561.403	89.978	1333.568	1549.480	91.892	1028.816	1798.610	98.748	1028.128	1977.645	95.010	1008.684	1902.471	46.289	1051.418	1988.851	121.822	1009.995	1973.205	152.454	1013.946	1951.029	167.716	1014.134
85	0.84000	1560.817	89.974	1333.598	1549.503	91.868	1028.825	1798.609	98.770	1028.133	1977.616	94.856	1008.544	1902.430	46.295	1051.414	1988.933	121.568	1009.723	1973.538	152.537	1013.751	1951.388	167.953	1013.991
86	0.85000	1560.166	89.970	1333.669	1549.456	91.915	1028.806	1798.624	98.724	1028.134	1977.623	94.682	1008.349	1902.365	46.247	1051.409	1989.091	121.462	1009.397	1973.588	152.308	1013.014	1951.295	167.731	1013.188
87	0.86000	1559.628	90.087	1333.632	1549.403	91.977	1028.799	1798.588	98.716	1028.134	1977.631	94.582	1008.198	1902.349	46.212	1051.414	1989.181	121.233	1009.057	1973.497	152.171	1012.118	1951.367	167.849	1012.720
88	0.87000	1559.110	90.200	1333.575	1549.434	92.013	1028.819	1798.604	98.706	1028.168	1977.618	94.490	1008.009	1902.349	46.182	1051.485	1989.133	120.952	1008.528	1973.616	152.321	1011.486	1951.434	167.652	1012.173
89	0.88000	1558.582	90.249	1333.608	1549.359	91.988	1028.801	1798.590	98.669	1028.153	1977.588	94.362	1007.792	1902.279	46.170	1051.426	1989.193	120.648	1008.139	1973.863	152.631	1011.146	1951.540	167.894	1011.821
90	0.89000	1558.007	90.314	1333.613	1549.337	92.022	1028.898	1798.549	98.657	1028.142	1977.622	94.264	1007.622	1902.239	46.102	1051.460	1989.100	120.355	1007.656	1974.056	153.422	1010.663	1951.579	167.882	1011.544
91	0.90000	1557.524	90.341	1333.708	1549.321	91.976	1028.864	1798.518	98.649	1028.141	1977.512	94.186	1007.341	1902.181	46.069	1051.553	1989.232	120.156	1007.489	1974.217	154.267	1009.969	1951.687	167.937	1011.153
92	0.91000	1557.127	90.452	1333.675	1549.294	92.012	1028.879	1798.522	98.607	1028.115	1977.447	94.065	1006.993	1902.134	46.087	1051.579	1989.338	120.143	1007.159	1974.476	154.861	1009.248	1951.826	167.967	1010.535
93	0.92000	1556.744	90.466	1333.654	1549.223	92.033	1028.871	1798.532	98.621	1028.121	1977.512	93.847	1006.655	1902.005	45.919	1051.696	1989.493	120.011	1006.851	1974.619	155.904	1008.113	1951.737	167.937	1009.494
94	0.93000	1556.346	90.493	1333.644	1549.268	92.050	1028.891	1798.522	98.597	1028.159	1977.503	93.725	1006.301	1901.994	45.876	1051.784	1989.639	119.577	1006.525	1974.966	156.792	1007.218	1952.079	167.964	1008.737
95	0.94000	1555.970	90.505	1333.680	1549.265	92.092	1028.822	1798.524	98.609	1028.162	1977.476	93.444	1005.884	1901.681	45.367	1052.321	1989.797	119.058	1006.152	1975.304	157.863	1006.374	1952.246	168.386	1007.669
96	0.95000	1555.620	90.533	1333.681	1549.245	92.052	1028.924	1798.551	98.627	1028.197	1977.382	93.087	1005.536	1901.608	45.367	1052.408	1989.601	118.478	1005.549	1975.144	158.937	1004.992	1952.045	168.523	1006.413
97	0.96000	1555.326	90.580	1333.715	1549.242	92.081	1028.874	1798.537	98.611	1028.206	1977.488	93.010	1005.227	1901.627	45.415	1052.509	1989.635	118.079	1005.354	1973.560	158.921	1003.047	1951.705	169.192	1004.712
98	0.97000	1555.086	90.629	1333.771	1549.244	92.123	1028.886	1798.550	98.638	1028.226	1977.470	92.848	1004.873	1901.953	45.936	1052.198	1989.521	117.626	1005.275	1973.989	160.528	1002.053	1951.322	169.855	1003.715
99	0.98000	1554.787	90.540	1333.727	1549.219	92.084	1028.907	1798.569	98.625	1028.249	1977.338	92.448	1004.460	1901.637	45.502	1052.885	1989.087	117.177	1004.729	1973.491	161.205	1000.651	1950.677	170.809	1002.404
100	0.99000	1554.640	90.536	1333.710	1549.244	92.087	1028.869	1798.595	98.616	1028.286	1977.404	92.058	1004.271	1901.586	45.529	1053.020	1989.060	117.237	1004.786	1973.940	162.347	1000.150	1950.829	172.257	1002.080
101	1.00000	1554.544	90.514	1333.611	1549.216	92.119	1028.885	1798.597	98.642	1028.284	1977.365	91.839	1003.902	1901.552	45.482	1053.180	1989.145	117.423	1004.986	1973.646	162.833	999.077	1950.829	173.258	1001.771
102	1.01000	1554.438	90.502	1333.598	1549.269	92.090	1028.902	1798.544	98.629	1028.302	1977.329	91.703	1003.468	1901.511	45.538	1053.234	1989.112	117.433	1005.087	1973.623	163.308	998.060	1950.820	174.276	1001.522
103	1.02000	1554.417	90.533	1333.566	1549.221	92.066	1028.886	1798.566	98.692	1028.318	1977.098	91.381	1002.537	1901.508	45.542	1053.134	1989.407	116.993	1005.261	1973.311	163.677	997.122	1950.240	174.777	1001.057
104	1.03000	1554.428	90.528	1333.541	1549.217	92.148	1028.854	1798.508	98.729	1028.299	1977.163	91.591	1002.396	1902.156	45.188	1053.738	1989.153	117.200	1005.930	1973.156	164.244	996.415	1949.773	175.230	1000.521
